Game,Released,Game platforms,Status,Played on,Created,Updated,Rating,Review,Rating Created,Url
Town of Salem,2014-12-15,"PC, macOS, Web",Completed,PC,2020-02-03 22:05:43,2020-02-05 01:00:48,recommended,,2020-02-03 23:29:24,https://rawg.io/games/town-of-salem
LEGO The Hobbit,2014-04-08,"PC, macOS, PS Vita, PlayStation 4, Wii U, Xbox One, Xbox 360, PlayStation 3, Nintendo 3DS",Not played,PC,2020-02-03 22:05:42,2020-02-05 01:00:41,,,,https://rawg.io/games/lego-the-hobbit
Ultimate Chicken Horse,2016-03-04,"macOS, Android, PC, Linux, PlayStation 4, Xbox One, Nintendo Switch",Currently playing,PC,2020-02-03 22:05:43,2020-02-05 00:59:30,,,,https://rawg.io/games/ultimate-chicken-horse
Drawn to Life: The Next Chapter,2009-10-27,"Nintendo DS, Wii",Completed,Nintendo DS,2020-02-05 00:58:19,2020-02-05 00:58:24,,,,https://rawg.io/games/drawn-to-life-the-next-chapter
The Pedestrian,2020-01-28,"Linux, macOS, PC",Wishlist,,2020-02-05 00:55:48,2020-02-05 00:55:48,,,,https://rawg.io/games/the-pedestrian
Red Dead Redemption 2,2018-10-26,"PC, Xbox One, PlayStation 4",Wishlist,,2020-02-05 00:55:38,2020-02-05 00:55:38,,,,https://rawg.io/games/red-dead-redemption-2
Marvel's Spider-Man,2018-09-07,PlayStation 4,Wishlist,PlayStation 4,2020-02-05 00:55:36,2020-02-05 00:55:36,,,,https://rawg.io/games/marvels-spider-man
Spyro Reignited Trilogy,2018-11-13,"PC, Nintendo Switch, PlayStation 4, Xbox One",Wishlist,,2020-02-05 00:55:29,2020-02-05 00:55:29,,,,https://rawg.io/games/spyro-reignited-trilogy
Monster Hunter Generations Ultimate,2018-08-28,Nintendo Switch,Currently playing,Nintendo Switch,2020-02-05 00:54:34,2020-02-05 00:54:37,,,,https://rawg.io/games/monster-hunter-generations-ultimate
Tales of Maj'Eyal,2012-12-20,"Linux, PC, macOS",Played,PC,2020-02-03 22:05:41,2020-02-03 22:39:13,,,,https://rawg.io/games/tales-of-majeyal
Europa Universalis IV,2013-08-13,"PC, Linux, macOS",Currently playing,PC,2020-02-03 22:05:41,2020-02-03 22:27:22,,,,https://rawg.io/games/europa-universalis-iv
Beneath a Steel Sky,1994-04-10,"PC, macOS, Linux, Commodore / Amiga, iOS, Classic Macintosh",Not played,PC,2020-02-04 14:39:58,2020-02-04 14:40:47,,,,https://rawg.io/games/beneath-a-steel-sky
Dragonsphere,1994-01-01,"PC, macOS, Linux",Not played,PC,2020-02-04 14:39:58,2020-02-04 14:40:46,,,,https://rawg.io/games/dragonsphere
Freespace 2,1999-09-30,PC,Not played,PC,2020-02-04 14:39:58,2020-02-04 14:40:43,,,,https://rawg.io/games/freespace-2
Akalabeth: World of Doom,1979-12-31,"iOS, macOS, Apple II, PC, Linux",Not played,PC,2020-02-04 14:39:58,2020-02-04 14:40:41,,,,https://rawg.io/games/akalabeth-world-of-doom-2
Ultima IV: Quest of the Avatar,1985-09-16,"PC, macOS, iOS, Atari ST, SEGA Master System, Classic Macintosh, Apple II, Atari 8-bit, Commodore / Amiga, NES",Not played,PC,2020-02-04 14:39:58,2020-02-04 14:40:39,,,,https://rawg.io/games/ultima-iv-quest-of-the-avatar
Tyrian 2000,1999-11-29,"macOS, PC",Not played,PC,2020-02-04 14:39:58,2020-02-04 14:40:33,,,,https://rawg.io/games/tyrian-2000
Battle Realms + Winter of the Wolf,2002-11-10,PC,Not played,PC,2020-02-04 14:39:58,2020-02-04 14:40:32,,,,https://rawg.io/games/battle-realms-winter-of-the-wolf
Treasure Adventure Game,2011-11-25,PC,Not played,PC,2020-02-04 14:39:58,2020-02-04 14:40:30,,,,https://rawg.io/games/treasure-adventure-game
Warsow,2012-10-07,"macOS, PC, Linux",Not played,PC,2020-02-04 14:39:58,2020-02-04 14:40:28,,,,https://rawg.io/games/warsow
Grim Fandango Remastered,2015-01-26,"PC, Android, macOS, Linux, iOS, PS Vita, PlayStation 4, Nintendo Switch",Not played,PC,2020-02-04 14:39:58,2020-02-04 14:40:27,,,,https://rawg.io/games/grim-fandango-remastered
Obduction,2016-08-23,"macOS, PC, PlayStation 4",Not played,PC,2020-02-04 14:39:58,2020-02-04 14:40:24,,,,https://rawg.io/games/obduction
Mitos.is: The Game,2015-07-29,"PC, macOS",Played,PC,2020-02-03 22:05:44,2020-02-04 14:37:56,,,,https://rawg.io/games/mitosis-the-game
"Pokémon Gold, Silver",1999-11-21,"Nintendo 3DS, Game Boy, Game Boy Color",Played,,2020-02-04 14:35:34,2020-02-04 14:35:36,,,,https://rawg.io/games/pokemon-gold
Pokémon GO,2016-07-07,"iOS, Android",Played,,2020-02-04 14:35:28,2020-02-04 14:35:31,,,,https://rawg.io/games/pokemon-go
Team Fortress 2,2007-10-10,"PC, Linux, macOS",Played,PC,2020-02-03 22:05:45,2020-02-03 22:33:30,,,,https://rawg.io/games/team-fortress-2
Counter-Strike: Global Offensive,2012-08-21,"PC, Xbox 360, PlayStation 3",Played,PC,2020-02-03 22:05:45,2020-02-03 22:48:59,,,,https://rawg.io/games/counter-strike-global-offensive
Hitman 2,2018-11-13,"PC, PlayStation 4, Xbox One",Wishlist,PC,2020-02-03 22:05:45,2020-02-03 22:09:43,,,,https://rawg.io/games/hitman-2
Crusader Kings II,2012-02-14,"PC, Linux, macOS",Played,PC,2020-02-03 22:05:45,2020-02-03 22:40:19,,,,https://rawg.io/games/crusader-kings-ii
Pillars of Eternity II: Deadfire,2018-05-07,"Nintendo Switch, Xbox One, Linux, macOS, PlayStation 4, PC",Played,PC,2020-02-03 22:05:45,2020-02-03 22:09:39,,,,https://rawg.io/games/pillars-of-eternity-ii-deadfire
Turbo Pug DX,2016-09-26,PC,Not played,PC,2020-02-03 22:05:45,2020-02-03 22:21:32,,,,https://rawg.io/games/turbo-pug-dx
Deceit,2017-03-03,PC,Played,PC,2020-02-03 22:05:45,2020-02-03 22:16:52,,,,https://rawg.io/games/deceit
Divinity: Original Sin 2,2017-09-14,"PlayStation 4, Xbox One, PC",Played,PC,2020-02-03 22:05:45,2020-02-03 22:10:40,,,,https://rawg.io/games/divinity-original-sin-2
Never Split the Party,1900-01-01,"macOS, PC, Linux",Played,PC,2020-02-03 22:05:45,2020-02-03 22:42:11,,,,https://rawg.io/games/never-split-the-party
Bad North,2016-11-16,"macOS, PC, Android, Nintendo Switch, PlayStation 4, iOS, Xbox One",Played,PC,2020-02-03 22:05:45,2020-02-03 22:17:51,,,,https://rawg.io/games/bad-north
Jotun: Valhalla Edition,2015-09-29,"PC, Xbox One, Nintendo Switch, PlayStation 4",Played,PC,2020-02-03 22:05:45,2020-02-03 22:14:02,,,,https://rawg.io/games/jotun
FINAL FANTASY XV WINDOWS EDITION,2018-03-06,PC,Played,PC,2020-02-03 22:05:45,2020-02-03 22:17:10,,,,https://rawg.io/games/final-fantasy-xv-windows-edition
Bendy and the Ink Machine,2017-04-27,"Android, iOS, Linux, PlayStation 4, Nintendo Switch, macOS, PC, Xbox One",Played,PC,2020-02-03 22:05:44,2020-02-03 22:16:48,,,,https://rawg.io/games/bendy-and-the-ink-machine
Graveyard Keeper,2018-08-14,"iOS, Android, Linux, PC, macOS, PlayStation 4, Nintendo Switch, Xbox One",Currently playing,PC,2020-02-03 22:05:44,2020-02-03 22:07:59,,,,https://rawg.io/games/graveyard-keeper
Ni no Kuni II: Revenant Kingdom,2018-03-23,"PC, PlayStation 4",Played,PC,2020-02-03 22:05:44,2020-02-03 22:09:35,,,,https://rawg.io/games/ni-no-kuni-ii-revenant-kingdom
Life is Strange,2015-01-29,"iOS, Android, Xbox 360, Linux, Xbox One, PlayStation 4, PC, macOS, PlayStation 3",Played,PC,2020-02-03 22:05:44,2020-02-03 22:26:38,,,,https://rawg.io/games/life-is-strange-episode-1-2
Fallout 4,2015-11-09,"PC, Xbox One, PlayStation 4",Played,PC,2020-02-03 22:05:44,2020-02-03 22:08:32,,,,https://rawg.io/games/fallout-4
Samorost 3,2016-03-14,"macOS, iOS, Android, PC",Played,PC,2020-02-03 22:05:44,2020-02-03 22:20:50,,,,https://rawg.io/games/samorost-3
Niche - a genetics survival game,2016-09-15,"Linux, PC, macOS",Played,PC,2020-02-03 22:05:44,2020-02-03 22:21:03,,,,https://rawg.io/games/niche-a-genetics-survival-game
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,2016-02-04,"PC, PlayStation 4, Xbox One",Played,PC,2020-02-03 22:05:44,2020-02-03 22:21:11,,,,https://rawg.io/games/naruto-shippuden-ultimate-ninja-storm-4
GabeN: The Final Decision,2015-09-21,PC,Not played,PC,2020-02-03 22:05:44,2020-02-03 22:22:39,,,,https://rawg.io/games/gaben-the-final-decision
